player,player_id,team,season
Bam Adebayo,adebaba01,East,2024
Giannis Antetokounmpo,antetgi01,East,2024
Paolo Banchero,banchpa01,East,2024
Scottie Barnes,barnesc01,East,2024
Jaylen Brown,brownja02,East,2024
Jalen Brunson,brunsja01,East,2024
Joel Embiid,embiijo01,East,2024
Tyrese Haliburton,halibty01,East,2024
Damian Lillard,lillada01,East,2024
Tyrese Maxey,maxeyty01,East,2024
Donovan Mitchell,mitchdo01,East,2024
Julius Randle,randlju01,East,2024
Jayson Tatum,tatumja01,East,2024
Trae Young,youngtr01,East,2024
Devin Booker,bookede01,West,2024
Stephen Curry,curryst01,West,2024
Anthony Davis,davisan02,West,2024
Luka Dončić,doncilu01,West,2024
Kevin Durant,duranke01,West,2024
Anthony Edwards,edwaran01,West,2024
Paul George,georgpa01,West,2024
Shai Gilgeous-Alexander,gilgesh01,West,2024
LeBron James,jamesle01,West,2024
Nikola Jokić,jokicni01,West,2024
Kawhi Leonard,leonaka01,West,2024
Karl-Anthony Towns,townska01,West,2024
Bam Adebayo,adebaba01,Giannis,2023
Giannis Antetokounmpo,antetgi01,Giannis,2023
DeMar DeRozan,derozde01,Giannis,2023
Kevin Durant,duranke01,Giannis,2023
Shai Gilgeous-Alexander,gilgesh01,Giannis,2023
Jrue Holiday,holidjr01,Giannis,2023
Damian Lillard,lillada01,Giannis,2023
Lauri Markkanen,markkla01,Giannis,2023
Donovan Mitchell,mitchdo01,Giannis,2023
Ja Morant,moranja01,Giannis,2023
Domantas Sabonis,sabondo01,Giannis,2023
Pascal Siakam,siakapa01,Giannis,2023
Jayson Tatum,tatumja01,Giannis,2023
Jaylen Brown,brownja02,LeBron,2023
Stephen Curry,curryst01,LeBron,2023
Luka Dončić,doncilu01,LeBron,2023
Anthony Edwards,edwaran01,LeBron,2023
Joel Embiid,embiijo01,LeBron,2023
De'Aaron Fox,foxde01,LeBron,2023
Paul George,georgpa01,LeBron,2023
Tyrese Haliburton,halibty01,LeBron,2023
Kyrie Irving,irvinky01,LeBron,2023
Jaren Jackson Jr.,jacksja02,LeBron,2023
LeBron James,jamesle01,LeBron,2023
Nikola Jokić,jokicni01,LeBron,2023
Julius Randle,randlju01,LeBron,2023
Zion Williamson,willizi01,LeBron,2023
LaMelo Ball,ballla01,Team Durant,2022
Devin Booker,bookede01,Team Durant,2022
Kevin Durant,duranke01,Team Durant,2022
