season,team,playoffs,Strength of Schedule_diff,o_rtg_diff,d_rtg_diff,pace_diff,f_tr_diff,3pt Attempt Rate_diff,ts_percent_diff,e_fg_percent_diff,tov_percent_diff,orb_percent_diff,ft_fga_diff,opp_e_fg_percent_diff,opp_tov_percent_diff,drb_percent_diff,opp_ft_fga_diff
2025,Atlanta Hawks,TRUE,-0.28,0.1,1.2,3.8,0.009,-0.011,0.003,0.003,0.6,1.1,0.007,0.017,1.2,1.2,0.013
2025,Boston Celtics,TRUE,-0.83,6.1,-3.4,-3.1,-0.031,0.115,0.015,0.018,-1.8,0.5,-0.02,-0.021,-1,1.2,-0.035
2025,Brooklyn Nets,FALSE,0.16,-6,1.3,-2.4,-0.003,0.037,-0.024,-0.027,1.1,-0.7,0,0.014,1.1,0.2,0.029
2025,Chicago Bulls,TRUE,-0.27,-0.4,1.1,4,-0.029,0.036,0.009,0.01,0.1,-2.9,-0.016,-0.004,-1.8,1.8,-0.011
2025,Charlotte Hornets,FALSE,0.01,-7.2,2.1,-1.2,-0.021,0.009,-0.039,-0.04,1.1,1.3,-0.015,0.004,-0.7,-0.3,0.001
2025,Cleveland Cavaliers,TRUE,-0.73,7.2,-2.3,1,-0.002,0.036,0.031,0.035,-1,0.7,-0.002,-0.015,0,0,-0.008
2025,Dallas Mavericks,TRUE,0.46,0.3,1.5,0.4,0.02,-0.032,0.007,0.006,-0.1,-1.9,0.014,-0.003,-1,-1.7,-0.01
2025,Denver Nuggets,TRUE,0.08,5.4,1.5,1,0.016,-0.065,0.028,0.03,-0.1,1.5,0.011,-0.001,-1.3,-0.2,-0.016
2025,Detroit Pistons,TRUE,-0.17,0.5,-1.4,1,0.005,-0.027,0.004,0.004,0.4,1,0.003,-0.004,0.7,1.2,0.025
2025,Golden State Warriors,TRUE,0.25,0.5,-2.8,-0.1,0.001,0.048,-0.008,-0.007,-0.3,2.1,-0.002,-0.002,1.5,0.8,0
2025,Houston Rockets,TRUE,0.45,0.8,-3.7,-0.2,-0.001,-0.037,-0.023,-0.02,-0.8,6.5,-0.011,-0.015,0.2,1.4,-0.003
2025,Indiana Pacers,TRUE,-0.55,2,-0.2,1.1,-0.002,-0.021,0.018,0.019,-0.8,-3.9,0.001,0.003,0.5,-0.3,0.001
2025,Los Angeles Clippers,TRUE,0.18,0.6,-4.2,-1.3,0.008,-0.034,0.013,0.011,0.8,-0.8,0.011,-0.007,1.1,2.7,0
2025,Los Angeles Lakers,TRUE,0.23,1.4,0.2,-1.2,0.028,0.004,0.017,0.014,0.1,-1.9,0.024,-0.004,-0.4,-0.3,-0.011
2025,Memphis Grizzlies,TRUE,-0.06,3.2,-1.5,4.5,0.006,-0.015,0.012,0.011,0.5,3.5,0.007,-0.01,0.3,0.1,0.017
2025,Miami Heat,TRUE,-0.45,-1,-1.6,-2.6,-0.011,0.008,0,0.001,-0.2,-2.9,-0.006,0,-0.1,1,-0.032
2025,Milwaukee Bucks,TRUE,-0.36,1.4,-1.1,0.5,0.025,0.003,0.022,0.025,-0.4,-5.9,0.012,-0.01,-1.2,1.4,-0.015
2025,Minnesota Timberwolves,TRUE,0.15,2.1,-3,-1.5,0.006,0.034,0.012,0.011,0.4,0.6,0.007,-0.011,0.6,0.3,-0.011
2025,New Orleans Pelicans,FALSE,0.84,-4.1,5.4,0.3,0.001,-0.036,-0.024,-0.024,0.2,1.1,-0.005,0.021,-0.3,-2.1,0.001
2025,New York Knicks,TRUE,-0.51,4,-0.2,-2.1,-0.011,-0.039,0.013,0.013,-0.7,0.8,-0.003,0.006,0.5,-0.3,-0.013
2025,Oklahoma City Thunder,TRUE,-0.16,5.8,-7,1.2,-0.023,-0.002,0.017,0.017,-2.3,-1,-0.009,-0.03,2.3,-0.2,0.022
2025,Orlando Magic,TRUE,-0.58,-5.1,-4.9,-2.7,0.026,-0.01,-0.026,-0.033,0.3,0.1,0.019,-0.005,2.4,2.2,0.031
2025,Philadelphia 76ers,FALSE,-0.06,-2.6,3.7,-1.4,0.014,0.005,-0.013,-0.016,-0.3,-1.8,0.012,0.027,1.7,-3,0.005
2025,Phoenix Suns,FALSE,0.45,1.7,4.8,-1.7,-0.002,0.019,0.019,0.018,0.2,-2.6,0.006,0.009,-1.7,-0.7,0.002
2025,Portland Trail Blazers,FALSE,0.31,-2.8,0.2,0,0.003,-0.003,-0.021,-0.022,1.2,4,-0.002,0,1,-2.3,0.015
2025,Sacramento Kings,TRUE,0.11,2.2,1.7,-0.6,-0.008,-0.03,0.006,0.005,-0.8,0.2,0.001,0.014,-0.1,2.1,0.011
2025,San Antonio Spurs,FALSE,0.31,-0.1,2.7,0.5,-0.009,0.02,-0.001,0.001,-0.3,-0.9,-0.008,0.008,-0.6,-1.8,-0.031
2025,Toronto Raptors,FALSE,-0.11,-4,0.3,0.9,-0.011,-0.048,-0.023,-0.021,0.7,2.1,-0.016,-0.002,0.6,-0.9,0.033
2025,Utah Jazz,FALSE,0.83,-3.3,5.9,1.2,0.009,0.028,-0.008,-0.01,2.3,1.7,0.006,0.016,-2.3,-0.7,-0.004
2025,Washington Wizards,FALSE,0.3,-7.7,4.6,2.1,-0.014,0.014,-0.03,-0.031,1,-2.5,-0.011,0.005,-1.2,-2.9,0.013
2024,Atlanta Hawks,FALSE,-0.19,1.9,4.1,1.6,0.007,0.013,-0.004,-0.008,-0.5,2.9,0.008,0.025,0.3,-0.6,0
2024,Boston Celtics,TRUE,-0.6,7.9,-3.7,-1.3,-0.02,0.076,0.029,0.031,-1.3,0.7,-0.012,-0.024,-1.3,0.5,-0.047
2024,Brooklyn Nets,FALSE,-0.13,-2.1,0.8,-1.6,-0.01,0.017,-0.019,-0.016,-0.3,1,-0.015,-0.004,-0.7,0.2,0.001
2024,Chicago Bulls,FALSE,-0.33,-0.4,1,-2.2,-0.008,-0.037,-0.012,-0.013,-1.1,0.9,-0.005,0.009,0.6,0.6,0.003
2024,Charlotte Hornets,FALSE,0.13,-6,4.5,-1.2,-0.032,-0.004,-0.02,-0.018,0.5,-3.1,-0.025,0.025,0.2,-1.3,-0.004
2024,Cleveland Cavaliers,TRUE,-0.44,-0.1,-2.6,-1.3,-0.01,0.027,0.006,0.01,0.3,-1,-0.013,-0.012,0.2,1.1,-0.002
2024,Dallas Mavericks,TRUE,0.09,2.3,0.1,1.6,0.007,0.046,0.012,0.015,-0.9,-2,-0.002,0.001,0,-0.6,-0.008
2024,Denver Nuggets,TRUE,-0.03,3.2,-2.3,-1.7,-0.02,-0.043,0.009,0.015,-0.6,1.3,-0.022,-0.021,-0.9,-0.2,0.003
2024,Detroit Pistons,FALSE,0.05,-5.6,3.5,1.3,0.002,-0.035,-0.018,-0.021,1.4,-0.3,0.001,0.011,-1,1.5,0.029
2024,Golden State Warriors,FALSE,0.16,2.5,-0.1,0.7,-0.025,0.03,0.006,0.01,0.4,3.3,-0.021,-0.008,-0.6,0.3,0.003
2024,Houston Rockets,FALSE,0.12,-0.8,-1.9,0.5,0.013,0.002,-0.015,-0.018,-0.9,0.9,0.007,-0.014,0.1,0.2,0.027
2024,Indiana Pacers,TRUE,-0.3,5.7,2.7,3.2,-0.022,-0.015,0.026,0.031,-0.8,-0.4,-0.019,0.009,0,-1.7,0.036
2024,Los Angeles Clippers,TRUE,0.13,3.5,0.1,-1.3,0.012,-0.012,0.019,0.014,-0.1,0.2,0.019,-0.006,-0.4,-1,-0.009
2024,Los Angeles Lakers,TRUE,0.48,0.6,0,2.4,0.032,-0.037,0.021,0.019,0.4,-4.3,0.024,0.003,-0.4,0.4,-0.039
2024,Memphis Grizzlies,FALSE,0.43,-8.1,-1,-0.3,-0.006,0.033,-0.037,-0.038,1.3,-0.4,-0.01,0.004,1.4,-1,0.003
2024,Miami Heat,TRUE,-0.66,-1.3,-3.1,-2.3,0.013,-0.001,-0.002,-0.009,-0.4,-2.4,0.018,-0.004,0.6,2.3,-0.018
2024,Milwaukee Bucks,TRUE,-0.18,3.1,0.5,1.4,0.026,0.035,0.021,0.021,-0.6,-2.4,0.017,-0.008,-1.5,1.4,-0.003
2024,Minnesota Timberwolves,TRUE,-0.07,0.3,-6.3,-1.4,0.026,-0.011,0.014,0.012,0.9,-1,0.017,-0.032,0.8,1.1,0.005
2024,New Orleans Pelicans,TRUE,0.05,2.1,-2.4,-0.6,0.017,-0.022,0.011,0.011,-0.3,0.2,0.01,-0.006,0.8,1.1,-0.006
2024,New York Knicks,TRUE,-0.23,2.9,-1.9,-3.3,0.002,0.009,-0.006,-0.007,-0.2,5.2,0,-0.004,0.2,0.3,-0.016
2024,Oklahoma City Thunder,TRUE,-0.05,4.2,-3.2,1.3,-0.004,-0.012,0.028,0.026,-0.7,-3.1,0.006,-0.017,1.5,-2,0.01
2024,Orlando Magic,TRUE,-0.55,-1.9,-4,-1.6,0.043,-0.026,-0.003,-0.006,1.2,1.1,0.026,-0.004,1.7,2.3,0.014
2024,Philadelphia 76ers,TRUE,-0.54,1.6,-1.5,-1,0.02,-0.022,-0.006,-0.015,-1.4,0.6,0.026,-0.01,1,-1.5,0.023
2024,Phoenix Suns,TRUE,0.02,2.3,-0.7,-0.2,0.027,-0.017,0.023,0.018,1.3,0.8,0.027,-0.011,-0.8,-0.2,-0.014
2024,Portland Trail Blazers,FALSE,0.74,-7,2.2,-1.3,-0.016,-0.025,-0.041,-0.044,1.3,3.3,-0.011,0.011,0.7,-1.8,0.024
2024,Sacramento Kings,FALSE,0.55,1.6,-0.1,0.3,-0.015,0.037,0.002,0.009,-0.5,0.3,-0.021,0.008,0.4,2.6,0.021
2024,San Antonio Spurs,FALSE,0.69,-5.3,1.1,2.6,-0.024,0.006,-0.017,-0.015,1.1,-1.3,-0.02,0.008,-0.4,0.6,-0.018
2024,Toronto Raptors,FALSE,-0.01,-3,3.5,0.9,-0.003,-0.026,-0.014,-0.012,0.3,0,-0.01,0.019,0.1,-1.9,-0.02
2024,Utah Jazz,FALSE,0.68,0.2,5.1,1,0.007,0.011,-0.001,-0.008,1.5,3.9,0.017,0.02,-1.2,-0.6,-0.01
2024,Washington Wizards,FALSE,0,-4.8,4.3,4.2,-0.023,-0.006,-0.013,-0.009,0.1,-4.2,-0.023,0.015,-0.1,-3.3,0.009
2023,Atlanta Hawks,TRUE,0.02,1.8,1.5,1.6,-0.022,-0.056,-0.002,-0.004,-1.3,1.1,-0.008,0.007,-0.1,-0.2,-0.002
2023,Boston Celtics,TRUE,-0.15,3.2,-3.3,-0.6,-0.023,0.093,0.019,0.021,-0.5,-1.9,-0.011,-0.017,-1.2,2.5,-0.028
2023,Brooklyn Nets,TRUE,0.18,0.2,-0.7,-0.8,-0.006,0.01,0.017,0.017,0.2,-4.4,0,-0.015,-0.3,-2.3,0.004
2023,Chicago Bulls,FALSE,0.07,-1.3,-2.6,-0.6,-0.015,-0.054,0.006,0.005,-0.3,-3.9,-0.005,-0.001,1,1.8,-0.011
2023,Charlotte Hornets,FALSE,0.35,-5.6,0.5,1.7,-0.005,-0.027,-0.031,-0.029,-0.2,-0.2,-0.013,-0.001,0,-0.5,0.003
2023,Cleveland Cavaliers,TRUE,-0.15,1.3,-4.2,-3.4,-0.002,-0.016,0.009,0.011,-0.2,-0.4,-0.002,-0.01,1.9,0.3,0.002
2023,Dallas Mavericks,FALSE,-0.22,2,1.9,-2.5,0.032,0.1,0.018,0.02,-1.1,-6,0.017,0.004,-0.6,-0.5,0.018
2023,Denver Nuggets,TRUE,-0.29,2.8,-0.6,-1,-0.007,-0.026,0.02,0.028,0.6,0.8,-0.014,-0.002,-0.3,0.4,-0.007
2023,Detroit Pistons,FALSE,0.49,-4.1,4.1,-0.1,0.029,-0.015,-0.02,-0.025,0.8,0.9,0.019,0.012,-0.6,-2,0.023
2023,Golden State Warriors,TRUE,-0.15,1.3,-0.4,2.5,-0.042,0.092,0.019,0.026,1.6,0.4,-0.03,-0.005,-0.2,0,0.006
2023,Houston Rockets,FALSE,0.24,-3.4,4.5,-0.1,0.019,-0.028,-0.027,-0.029,1.5,6.2,0.007,0.019,-0.7,-0.2,0.01
2023,Indiana Pacers,FALSE,0.28,-0.2,2.9,2,-0.001,0.026,0,0,0.5,-0.6,0.001,0.009,0.5,-3.8,0.021
2023,Los Angeles Clippers,TRUE,-0.19,0.2,-0.3,-1.1,0.012,0,0.007,0.006,0.3,-1.1,0.009,-0.002,-0.8,0.6,-0.013
2023,Los Angeles Lakers,TRUE,-0.15,-0.3,-0.9,2.2,0.033,-0.036,0.001,-0.003,-0.2,-1.2,0.024,-0.01,-1.6,0.3,-0.037
2023,Memphis Grizzlies,TRUE,-0.34,0.3,-3.6,2,-0.007,-0.015,-0.011,-0.005,-0.8,2.5,-0.018,-0.019,0.6,-0.1,-0.002
2023,Miami Heat,TRUE,0.18,-1.8,-1.5,-2.8,0.004,0.021,-0.007,-0.015,-0.1,-1.2,0.016,0.016,2,1.7,-0.01
2023,Milwaukee Bucks,TRUE,-0.02,0.6,-2.9,1.4,-0.018,0.059,0.002,0.01,0.2,1,-0.024,-0.025,-2.1,1.8,-0.033
2023,Minnesota Timberwolves,TRUE,-0.18,-1.1,-1,1.9,0.005,-0.006,0.011,0.015,1.1,-2.5,-0.003,-0.005,0.8,-1.7,0.017
2023,New Orleans Pelicans,FALSE,-0.26,-0.4,-2.3,0,0.013,-0.043,0.001,-0.002,0.4,0.7,0.013,-0.002,0.9,1.4,0.004
2023,New York Knicks,TRUE,0.06,3,0,-2,0.019,0.013,-0.004,-0.004,-1.1,4.3,0.009,-0.009,-1.1,1.1,0.002
2023,Oklahoma City Thunder,FALSE,-0.12,0.4,-0.6,2,-0.01,-0.018,-0.011,-0.014,-1.3,0.7,-0.001,0.002,1.9,-3.1,0.014
2023,Orlando Magic,FALSE,0.17,-3.2,-0.6,0.2,0.024,-0.026,-0.008,-0.013,0.9,-0.2,0.019,0.005,0.6,1.7,0.003
2023,Philadelphia 76ers,TRUE,0.06,2.9,-1.5,-2.2,0.034,0.002,0.027,0.018,0.1,-2.4,0.042,-0.004,0.5,1.2,0.009
2023,Phoenix Suns,TRUE,0.01,0.3,-1.8,-0.9,-0.025,-0.025,-0.011,-0.01,-0.5,2.6,-0.017,-0.013,0.4,0,0.026
2023,Portland Trail Blazers,FALSE,0.05,0,4,-0.5,0.023,0.026,0.008,0.004,0.6,-1.6,0.022,0.018,-0.4,-1.1,0.009
2023,Sacramento Kings,TRUE,-0.35,4.6,2,1.2,0.018,0.036,0.027,0.027,-0.5,-1.3,0.017,0.018,0.1,1.2,-0.005
2023,San Antonio Spurs,FALSE,0.22,-4.6,5.2,2.5,-0.037,-0.039,-0.027,-0.02,0.5,1.6,-0.038,0.031,-0.5,-1.1,-0.007
2023,Toronto Raptors,FALSE,0.12,0.7,-0.8,-2,-0.009,-0.036,-0.026,-0.028,-2.2,3.8,-0.007,0.02,2.8,0.7,0.015
2023,Utah Jazz,FALSE,-0.09,1,1.9,1.4,-0.001,0.034,0.003,0.002,0.8,2.8,0.001,-0.004,-1.6,-0.8,-0.003
