season,team,playoffs,age,Strength of Schedule,o_rtg,d_rtg,pace,f_tr,3pt Attempt Rate,ts_percent,e_fg_percent,tov_percent,orb_percent,ft_fga,opp_e_fg_percent,opp_tov_percent,drb_percent,opp_ft_fga,attend_g
2025,Atlanta Hawks,TRUE,24.9,-0.28,114.6,115.7,102.6,0.252,0.41,0.579,0.546,13.2,26.3,0.196,0.56,13.8,76,0.202,16440
2025,Boston Celtics,TRUE,28.9,-0.83,120.6,111.1,95.7,0.212,0.536,0.591,0.561,10.8,25.7,0.169,0.522,11.6,76,0.154,19156
2025,Brooklyn Nets,FALSE,24.7,0.16,108.5,115.8,96.4,0.24,0.458,0.552,0.516,13.7,24.5,0.189,0.557,13.7,75,0.218,17398
2025,Chicago Bulls,TRUE,25.2,-0.27,114.1,115.6,102.8,0.214,0.457,0.585,0.553,12.7,22.3,0.173,0.539,10.8,76.6,0.178,20138
2025,Charlotte Hornets,FALSE,25.1,0.01,107.3,116.6,97.6,0.222,0.43,0.537,0.503,13.7,26.5,0.174,0.547,11.9,74.5,0.19,17169
2025,Cleveland Cavaliers,TRUE,26.6,-0.73,121.7,112.2,99.8,0.241,0.457,0.607,0.578,11.6,25.9,0.187,0.528,12.6,74.8,0.181,19432
2025,Dallas Mavericks,TRUE,27.5,0.46,114.8,116,99.2,0.263,0.389,0.583,0.549,12.5,23.3,0.203,0.54,11.6,73.1,0.179,20079
2025,Denver Nuggets,TRUE,27,0.08,119.9,116,99.8,0.259,0.356,0.604,0.573,12.5,26.7,0.2,0.542,11.3,74.6,0.173,19786
2025,Detroit Pistons,TRUE,25.8,-0.17,115,113.1,99.8,0.248,0.394,0.58,0.547,13,26.2,0.192,0.539,13.3,76,0.214,19071
2025,Golden State Warriors,TRUE,28.6,0.25,115,111.7,98.7,0.244,0.469,0.568,0.536,12.3,27.3,0.187,0.541,14.1,75.6,0.189,18064
2025,Houston Rockets,TRUE,24.9,0.45,115.3,110.8,98.6,0.242,0.384,0.553,0.523,11.8,31.7,0.178,0.528,12.8,76.2,0.186,17484
2025,Indiana Pacers,TRUE,25.8,-0.55,116.5,114.3,99.9,0.241,0.4,0.594,0.562,11.8,21.3,0.19,0.546,13.1,74.5,0.19,16737
2025,Los Angeles Clippers,TRUE,29.7,0.18,115.1,110.3,97.5,0.251,0.387,0.589,0.554,13.4,24.4,0.2,0.536,13.7,77.5,0.189,16575
2025,Los Angeles Lakers,TRUE,27.9,0.23,115.9,114.7,97.6,0.271,0.425,0.593,0.557,12.7,23.3,0.213,0.539,12.2,74.5,0.178,18723
2025,Memphis Grizzlies,TRUE,24.7,-0.06,117.7,113,103.3,0.249,0.406,0.588,0.554,13.1,28.7,0.196,0.533,12.9,74.9,0.206,16660
2025,Miami Heat,TRUE,26.8,-0.45,113.5,112.9,96.2,0.232,0.429,0.576,0.544,12.4,22.3,0.183,0.543,12.5,75.8,0.157,19716
